parliament	pa:ləmənt	n.议会，国会
part	pa:t	n.一部分；零件；本份
partial	pa:ʃəl	a.部分的；不公平的
participate	pa:'tisipeit	vi.参与，参加；分享
particle	pa:tikl	n.粒子，微粒
particular	pə'tikjulə	a.特殊的；特定的
particularly	pə'tikjuləli	ad.特别，尤其，格外
partly	pa:tli	ad.部分地，不完全地
partner	pa:tnə	n.伙伴；搭挡；配偶
party	pa:ti	n.党，党派；聚会
pass	pa:s	vt.经过；通过；度过
passage	pæidʒ	n.通过；通路，通道
passenger	pæsindʒə	n.乘客，旅客，过路人
passion	pæʃən	n.激情，热情；爱好
passive	pæsiv	a.被动的；消极的
passport	pa:spɔ:t	n.护照
past	past	a.过去的n.过去
paste	peist	n.糊，酱；浆湖
pat	pæt	n.&vt.&n.轻拍
patch	pætʃ	n.补钉；碎片vt.补缀
path	pa:θ	n.路，小道；道路
patience	peiʃəns	n.忍耐，容忍，耐心
patient	peiʃənt	a.忍耐的n.病人
pattern	pætən	n.型，式样，模，模型
pause	pɔ:z	n.&vi.中止，暂停
paw	pɔ:	n.脚爪，爪子
pay	pei	vt.支付；付给；给予
payment	peimənt	n.支付，支付的款项
pea	pi:	n.豌豆；豌豆属植物
peace	pi:s	n.和平；和睦；平静
peaceful	pi:sful	a.和平的；安静的
peach	pi:tʃ	n.桃子，桃树
peak	pi:k	n.山顶，巅a.最高的
pear	peə	n.梨子，梨树
peasant	pezənt	n.农民
peculiar	pi'kju:ljə	a.特有的；特别的
pen	pen	n.钢笔，自来水笔
pencil	pensl	n.铅笔
penetrate	penitreit	vt.穿过vi.穿入
penny	peni	n.(英)便士；(美)分
people	pi:pl	n.人民，民族；人
per	pə:	prep.每
perceive	pə'si:v	vt.察觉，发觉；理解
percent	pə'sent	n.百分之…
percentage	pə'sentidʒ	n.百分比，百分率
perfect	pə:fikt,'pə:fekt	a.完美的；完全的
perform	pə'fɔ:m	vt.履行，执行；演出
performance	pə'fɔ:məns	n.履行；演出；行为
perhaps	pə'hæps	ad.也许，可能，多半
period	piəriəd	n.时期；学时；句号
permanent	pə:mənənt	a.永久的，持久的
permission	pə(:)'miʃən	n.允许，许可，同意
permit	pə:'mit,'pə:mit	vt.允许n.执照
persist	pə:'sist	vi.坚持，固执；持续
person	pə:sn	n.人；人身；本人
personal	pə:sənl	a.个人的；本人的
personnel	pə:sə'nel	n.全体人员，全体职员
