federal	fedərəl	a.联邦的；联盟的
fee	fi:	n.费，酬金；赏金
feed	fi:d	vt.喂(养)vi.吃饲料
feedback	fi:dbæk	n.回授，反馈，反应
feel	fi:l	vi.有知觉vt.触，摸
feeling	fi:liŋ	n.感情；感觉，知觉
fellow	feləu	n.人，家伙；伙伴
female	fi:meil	n.雌性的动物；女子
fence	fens	n.栅栏
fertile	fə:tail	a.肥沃的；多产的
fertilizer	fə:tilaizə	n.肥料
festival	festəvəl	n.节日；音乐节
fetch	fetʃ	vt.拿来；请来，接去
fever	fi:və	n.发热，发烧；狂热
few	fju:	a.很少的；少数的
fibre	faibə	n.纤维，纤维质
fiction	fikʃən	n.小说；虚构，杜撰
field	fi:ld	n.田野；田；运动场
fierce	fiəs	a.凶猛的，狂热的
fifteen	fif'ti:n	num.十五；十五个
fifth	fifθ	num.第五n.五分之一
fifty	fifti	num.五十，五十个
fight	fait	vi.打(仗)；斗争
figure	figə	n.数字；外形；人物
file	fail	n.档案vt.把…归档
fill	fil	vt.装满，盛满；占满
film	film	n.影片；胶卷；薄层
filter	filtə	vt.过滤n.滤纸
final	fainl	a.最后的；决定性的
finally	fainəli	ad.最后；不可更改的
finance	fai'næns,fi-	n.财政，金融；财源
financial	fai'nænʃəl,fi-	a.财政的，金融的
find	faind	vt.找到；发觉；找出
finding	faindiŋ	n.发现；调查的结果
fine	fain	a.美好的；纤细的n.罚金，罚款
finger	fiŋgə	n.手指；指状物
finish	finiʃ	vt.完成，结束n.结束
fire	faiə	n.火；火灾vi.开火
fireman	faiəmən	n.消防队员；司炉工
firm	fə:m	n.商行，商号，公司
first	fə:st	num.第一ad.最初
fish	fiʃ	n.鱼，鱼肉vi.钓鱼
fisherman	fiʃəmən	n.渔民，渔夫，打鱼人
fit	fit	vt.适合；安装vi.适合
five	faiv	num.五，五个，第五
fix	fiks	vt.使固定；决定
flag	flæg	n.旗，旗帜；旗舰旗
flame	fleim	n.火焰；光辉；热情
flash	flæʃ	n.闪光vi.闪，闪烁
flat	flæt	a.平的，扁平的n.一套房间；单元住宅
flavour	fleivə	n.味，味道；风味
fleet	fli:t	n.舰队；船队，机群
flesh	fleʃ	n.肉，肌肉；肉体
flexible	fleksəbl	a.易弯曲的；灵活的
flight	flait	n.航班；飞行；逃跑
float	fləut	vi.漂浮vt.使漂浮
flock	flɔk	n.羊群，群；大量
flood	flΛd	n.洪水vt.淹没
floor	flɔ:	n.地板；楼层
flour	flauə	n.面粉，粉；粉状物质
