lens	lenz	n.透镜，镜片；镜头
fix	fiks	vt.使固定；决定
idle	aidl	a.空闲的；懒散的
hook	huk	n.钩，挂钩vt.钩住
lady	leidi	n.女士，夫人；贵妇人
come	kΛm	vi.来，来到；出现
port	pɔ:t	n.港，港口
loaf	ləuf	n.一条面包，一个面包
flow	fləu	vi.流动；飘垂；涨潮
he	hi:	pron.(主格)他
job	dʒob	n.职业；工作；零活
acid	æsid	n.酸；酸的，酸性的
say	sei	vt.比如说[用于举例]
on	on	prep.在…上；在…旁
now	nau	ad.现在；立刻；于是
busy	bizi	a.忙的，繁忙的
jar	dʒa:	n.罐子，坛子，广口瓶
dorm	dɔ:m	n.(集体)宿舍
high	hai	a.高的；高级的ad.高
link	liŋk	vt.有环连接n.环
hint	hint	n.暗示，示意；建议
joke	dʒəuk	n.笑话vi.说笑话
pool	pu:l	n.水塘，游泳池，水池
germ	dʒə:m	n.微生物，细菌，幼芽
halt	hɔ:lt	vi.停止；立定n.停住
meat	mi:t	n.肉
pen	pen	n.钢笔，自来水笔
cook	kuk	vt.烹调，煮vt.烧菜
lane	lein	n.(乡间)小路；跑道
coin	kɔin	n.硬币；铸造(硬币)
like	laik	prep.像，如；像要vt.喜欢；喜爱；希望
pass	pa:s	vt.经过；通过；度过
knee	ni:	n.膝，膝盖，膝关节
move	mu:v	vt.移动；感动n.动
loud	laud	a.响亮的；吵闹的
land	lænd	n.陆地；土地vi.上岸
fond	fɔnd	a.喜爱的；溺爱的
gas	gæs	n.煤气；气体；汽油
odd	od	a.奇数的；单只的
corn	kɔ:n	n.谷物；(英)小麦
deer	diə	n.鹿
near	niə	ad.近，接近a.近的
mate	meit	n.伙伴，同事；配偶
blue	blu:	a.蓝色的n.蓝色
last	la:st	a.最后的ad.最后vi.持续，持久；耐久
ball	bɔ:l	n.球，球状物；舞会
club	klΛb	n.俱乐部，夜总会
pick	pik	vt.拾，摘vi.采摘
lion	laiən	n.狮子；勇猛的人
hope	həup	n.&vt.&vi.希望
nine	nain	num.九，九个
ash	æʃ	n.灰，灰末；骨灰
frog	frɔg	n.蛙
huge	hju:dʒ	a.巨大的，庞大的
fan	fæn	n.扇子，风扇；(运动等)狂热爱好者vt.扇
ink	iŋk	n.墨水，油墨
five	faiv	num.五，五个，第五
fate	feit	n.命运，天数
ray	rei	n.光线，射线，辐射线
rod	rɔd	n.杆，竿，棒
cold	kəuld	a.冷的；冷淡的n.冷
onto	ontu	prep.到…上
gym	dʒim	n.体育馆，健身房
base	beis	n.基础，底层；基地
bean	bi:n	n.豆，蚕豆
cock	kɔk	n.公鸡；雄禽；旋塞
coil	kɔil	n.(一)卷；线圈vt.卷
live	livlaiv	vi.居住；活a.活的
hi	hai	ini.嗨(表示问候等)
gap	gæp	n.缺口；间隔；差距
chew	tʃu:	vt.咀嚼，嚼碎
coat	kəut	n.外套，上衣；表皮
load	ləud	vt.装；装满n.负载
game	geim	n.游戏；比赛；猎物
melt	melt	vi.融化vt.使融化
heel	hi:l	n.脚后跟，踵，后跟
nut	nΛt	n.坚果，干果；螺母
emit	i'mit	vt.散发；发射；发表
iron	aiən	n.铁；烙铁vt.烫(衣)
clay	klei	n.粘土，泥土；肉体
cut	kΛt	vt.切，割，剪；减少
glad	glæd	a.高兴的；乐意的
lip	lip	n.嘴唇
fat	fæt	n.脂肪,肥肉a.肥胖的
hand	hænd	n.手；人手；指针
news	nju:z	n.新闻，消息
cast	ka:st	vt.投，扔，抛；浇铸
deaf	def	adj.聋的不愿听的
lung	lΛŋ	n.肺脏，肺
pink	piŋk	n.粉红色a.粉红色的
dumb	dʌm	adj.哑的无言的沉默的愚蠢的vt.使人沉默
file	fail	n.档案vt.把…归档
for	fɔ:,fə	prep.为；给；因为
maid	meid	n.女佣，女仆；少女
beef	bi:f	n.牛肉；菜牛
gum	gΛm	n.口香糖；树胶
egg	eg	n.蛋，鸡蛋，卵
tin	tin	n.锡；罐头
copy	kɔpi	n.抄件vt.抄写，复制
good	gud	a.好的；有本事的
fool	fu:l	n.蠢人，傻子vt.欺骗
best	best	a.最好的；最大的
cost	kɔst	n.价格，代价；成本
peak	pi:k	n.山顶，巅a.最高的
core	kɔ:	n.果实的心，核心
much	mΛtʃ	ad.非常，很a.许多的
owl	aul	n.猫头鹰，枭
code	kəud	n.准则；法典；代码
head	hed	n.头；上端vt.率领
look	luk	vi.看，显得n.看
