sound	saund	a.健康的；完好的
lunch	lΛntʃ	n.午餐，(美)便餐
create	kri(:)'eit	vt.创造；引起，产生
attend	ə'tend	vt.出席；照顾，护理
read	ri:d	vt.读，看懂vi.读
couple	kΛpl	n.夫妇；(一)对；几个
anchor	æŋkə	n.锚vi.抛锚，停泊
valid	vælid	a.有效的；正当的
assure	ə'ʃuə	vt.使确信；向…保证
staff	sta:f	n.工作人员；参谋
local	ləukəl	a.地方的；局部的
lover	lΛvə	n.爱好者；情人；情侣
female	fi:meil	n.雌性的动物；女子
during	'djuəriŋ	prep.在...期间
change	tʃeindʒ	n.改变，变化；零钱
adapt	ə'dæpt	vt.使适应；改编
pound	paund	vt.捣碎；舂烂；猛击
steep	sti:p	a.险峻的，陡峭的
image	imidʒ	n.像；形象；映象
push	puʃ	vt.推，逼迫vi.推
chɔice	tʃɔis	n.选择，抉择
ooman	rəumən	n.古罗马人a.罗马的
occur	ə'kə:	vi.发生；出现，存在
stove	stəuv	n.炉，火炉，电炉
awake	ə'weik	a.醒着的vt.唤醒
flash	flæʃ	n.闪光vi.闪，闪烁
spɔil	spɔil	vt.损坏，糟蹋；宠坏
hedge	hedʒ	n.篱笆，树篱；障碍物
impact	impækt	n.影响，作用；冲击
smart	sma:t	a.巧妙的；洒脱的
abuse	ə'bju:z,ə'bju:s	vt.滥用；虐待n.滥用
inner	inə	a.内部的；内心的
clerk	kla:k,klə:k	n.店员；办事员，职员
nerve	nə:v	n.神经；勇敢，胆量
bother	bɔðə	vt.烦扰，迷惑n.麻烦
grand	grænd	a.宏伟的；重大的
device	di'vais	n.器械装置设备设计策略
chance	tʃa:ns	n.机会，机遇；可能性
crack	kræk	n.裂缝，裂纹vi.爆裂
formal	fɔ:məl	a.正式的；礼仪上的
birth	bə:θ	n.分娩，出生；出身
cousin	kΛzn	n.堂(或表)兄弟(姐妹)
glory	glɔ:ri	n.光荣；荣誉的事
judge	dʒΛdʒ	n.法官；裁判员
plain	plein	n.平原a.清楚的
beast	bi:st	n.兽，野兽；牲畜
floor	flɔ:	n.地板；楼层
europe	juərəp	n.欧洲
enemy	enimi	n.敌人；仇敌；敌兵
sheet	ʃi:t	n.被单；纸张；薄板
metal	metl	n.金属，金属制品
deadly	'dedli	adj.致命的致死的死一般的adv.非常地如死一般地
cover	kΛvə	vt.盖，包括n.盖子
widow	widəu	n.寡妇
whip	wip	vt.鞭笞；搅打n.鞭子
rack	ræk	n.搁物架；行李架vt.使苦痛，折磨
nurse	nə:s	n.保姆；护士vt.看护
light	lait	n.光，光线；灯，光源a.轻的，少量的
rebel	rebəl,ri'bel	vi.造反n.造反者
chair	tʃeə	n.椅子；主席
hurry	hΛri	vi.赶紧vt.催促
donkey	'dɔŋki	n.驴笨蛋
input	input	n.输入；投入的资金
erect	i'rekt	vt.建造；使竖立
cheese	tʃi:z	n.乳酪，干酪
depend	di'pend	vi.依靠依赖相信指望
honour	ɔnə	n.光荣；尊敬，敬意
happy	hæpi	a.快乐的；幸福的
rough	rΛf	a.表面不平的；粗略的
pitch	pitʃ	n.沥青vt.投，掷vi.投掷
tidy	taidi	a.整洁的；整齐的
effort	efət	n.努力；努力的成果
Latin	lætin	a.拉丁的n.拉丁语
dense	dens	adj.密集的浓厚的愚钝的不易看透的
swift	swift	a.快的；反应快的
expert	ekspə:t	n.专家a.熟练的
clumsy	klΛmzi	a.笨拙的；愚笨的
apart	ə'pa:t	ad.相隔；分开；除去
sore	sɔ:	a.痛的；恼火的n.疮
elect	i'lekt	vt.选举，推选；选择
model	mɔdl	n.模型；模式；模特儿
error	erə	n.错误，谬误；差错
bench	bentʃ	n.长凳，条凳；工作台
undo	Λn'du:	vt.解开，打开；取消
grasp	gra:sp	vt.抓紧；掌握n.抓
blood	blΛd	n.血，血液；血统
prize	praiz	n.奖赏，奖金vt.珍视
steel	sti:l	n.钢，钢铁
urge	ə:dʒ	vt.推进；催促n.冲动
escape	is'keip	vi.逃跑；逸出n.逃跑
ankle	æŋkl	n.踝，踝节部
hotel	həu'tel	n.旅馆
blind	blaind	a.瞎的；盲目的
drunk	drʌŋk	adj.醉的陶醉的vbl.喝喝酒
quote	kwəut	vt.引用，引证；报价
photo	fəutəu	n.照片，相片
spur	spə:	n.刺激物vt.刺激
atomic	ə'tɔmik	a.原子的；原子能的
finger	fiŋgə	n.手指；指状物
x-ray	eks'rei	n.X射线，X光
bring	briŋ	vt.带来；引出；促使
coarse	kɔ:s	a.粗的，粗糙的
clothe	kləuð	vt.给…穿衣服
brush	brΛʃ	n.刷子，毛刷；画笔
bright	brait	a.明亮的；聪明的
rear	riə	n.后部，后面；背面vt.抚养，培养；栽种
ready	redi	a.准备好的；愿意的
giant	dʒaiənt	n.巨人；巨物
vivid	vivid	a.鲜艳的；生动的
fluent	flu(:)ənt	a.流利的，流畅的
faith	feiθ	n.信任，信心；信仰
minor	mainə	a.较小的；较次要的
straw	strɔ:	n.稻草，麦杆吸管
court	kɔ:t	n.法院，法庭；庭院
brain	brein	n.脑，脑髓；脑力
compel	kəm'pel	vt.强迫，迫使屈服
cattle	kætl	n.牛；牲口，家畜
trust	trΛst	n.信任vt.相信；委托
trend	trend	vi.伸向；倾向n.倾向
legal	li:gl	a.法律的；合法的
deduce	di'dju:s	vt.演绎推论推断溯源
fairly	feəli	ad.相当；公平地
fasten	fa:sn	vt.扎牢，扣住
break	breik	vt.打破；损坏；破坏
before	bi'fɔ:	prep.在…以前；向…
ratio	reiʃiəu	n.比，比率
tide	taid	n.潮，潮汐；潮流
delete	di'li:t	vt.删除擦掉
lodge	lɔdʒ	vi.暂住，借宿，投宿
exceed	ik'si:d	vt.超过，胜过；超出
strip	strip	vt.剥；夺去n.条带
assume	ə'sju:m	vt.假定；承担；呈现
strap	stræp	n.带子vt.捆扎
youth	ju:θ	n.青春；青年们；青年
stem	stem	n.茎，(树)干vi.起源
limit	limit	n.限度；限制；范围
awful	ɔ:ful	a.令人不愉快的
elder	eldə	a.年龄较大的n.长者
worm	wə:m	n.虫，蠕虫
purse	pə:s	n.钱包，小钱袋，手袋
gallon	gælən	n.加仑
desire	di'zaiə	vt.要求向往请求渴望n.愿望欲望情欲
level	levl	n.水平面a.水平的
scout	skaut	n.侦察员，侦察机
chess	tʃes	n.棋；国际象棋
grade	greid	vt.给…分等级n.等级
opera	ɔpərə	n.歌剧
enable	i'neibl	vt.使能够，使可能
sword	sɔ:d	n.剑，刀
vary	veəri	vt.改变；使多样化
crisis	kraisis	n.危机；存亡之际
owner	əunə	n.物主，所有人
hollow	hɔləu	a.空的；空洞的
faulty	fɔ:lti	a.有错误的，有缺点的
party	pa:ti	n.党，党派；聚会
tank	tæŋk	n.坦克；大容器，槽
wing	wiŋ	n.翼，翅膀，翅
hungry	hΛŋgri	a.饥饿的；渴望的
essay	esei	n.短文，散文，小品文
basin	beisn	n.盆，洗脸盆；盆地
ignore	ig'nɔ:	vt.不顾，不理，忽视
wound	wu:nd	n.创伤，伤vt.使受伤
rival	raivəl	n.竞争者a.竞争的
worst	wə:st	a.最坏的ad.最坏地
exert	ig'zə:t	vt.尽(力)，运用
access	ækses	n.接近；通道，入口
spin	spin	vt.纺；使旋转n.旋转
graph	græf	n.(曲线)图，图表
spill	spil	vt.使溢出vi.溢出
swear	sweə	vt.宣(誓)vi.诅咒
flock	flɔk	n.羊群，群；大量
drawer	'drɔ:ə	n.抽屉
hammer	hæmə	n.锤，榔头vt.锤击
event	i'vent	n.事件，大事；事变
extend	iks'tend	vt.延长；扩大；致
hatred	heitrid	n.憎恶，憎恨，仇恨
wrist	rist	n.腕，腕关节
ensure	in'ʃuə	vt.保证；保护；赋予
issue	iʃu:	n.问题；发行vt.发行
filter	filtə	vt.过滤n.滤纸
follow	fɔləu	vt.跟随；结果是
trail	treil	n.痕迹；小径vt.跟踪
defend	di'fend	vt.&vi.防护辩护防卫保卫防守
wave	weiv	n.波；波涛vi.波动
ought	ɔ:t	v.aux.应当，应该
music	mju:zik	n.音乐，乐曲，乐谱
quick	kwik	a.快的；敏捷的
prove	pru:v	vt.证明vi.结果是
queue	kju:	n.行列vi.排队等候
basket	ba:skit	n.篮，篓，筐
eager	i:gə	a.渴望的，热切的
rainy	reini	a.下雨的，多雨的
butter	bΛtə	n.黄油；奶油
naval	neivəl	n.海军的，军舰的
react	ri'ækt	vi.起反应；有影响
maths	mæθs	n.(英)数学
affair	ə'feə	n.事情，事件；事务
horror	hɔrə	n.恐怖；战栗；憎恶
dialog	'daiəlɔg	n.对话对白(美)=dialogue
earth	ə:θ	n.地球；陆地，地面
ripe	raip	a.熟的；时机成熟的
tour	tuə	n.&vi.旅行，游历
civil	sivl	a.公民的；文职的
family	fæmili	n.家，家庭；家族
breast	brest	n.乳房；胸脯，胸膛
might	mait	v.aux.可能，会，也许n.力量，威力，能力
March	ma:tʃ	n.三月
energy	enədʒi	n.活力；精力；能
risk	risk	n.风险，危险，冒险
bounce	bauns	vi.反跳，弹起；跳起
press	pres	vt.压，按，揿；催促
unite	ju'nait	vi.联合vt.使联合
power	pauə	n.能力；力；权；幂
